,Unnamed: 0,Winery,Wine,Rating,Num_Reviews,Price,Country,Region,Year,Tipo,Zona,Maridaje
158,207,Hnos. del Villar,Azoe Verdejo 2023,3.5,234,4.72,España,Rueda,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
159,208,Condesa de Leganza,Selección de Familia Rosado 2023,3.7,2392,4.73,España,Castilla,2023,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
160,211,Oliveda,Blanc de Blancs 2023,3.6,436,4.74,España,Empordà,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
161,213,Ramón Bilbao,Verdejo Rueda 2018,3.8,1783,4.75,España,Rueda,2018,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
162,215,Bodega Sommos,Glárima Rosado 2023,3.6,30,4.75,España,Somontano,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
163,216,Aldeya,Tinto 2023,3.3,531,4.75,España,Cariñena,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
164,217,Félix Solís,Orquestra Chardonnay 2022,3.5,40,4.75,España,Castilla,2022,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
165,218,Aldeya,Rosado 2023,3.2,92,4.75,España,Cariñena,2023,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
166,219,Bodegas Aragonesas,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2023,3.4,4178,4.75,España,Campo de Borja,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
167,220,Nuviana,Chardonnay 2020,3.6,146,4.75,España,Valle del Cinca,2020,blanco,Norte (España),"Mariscos, Merluza a la vasca"
168,221,Nuviana,Cabernet Sauvignon - Tempranillo Rosado 2019,3.7,576,4.75,España,Valle del Cinca,2019,tinto,Norte (España),"Chuletas de cordero, Chistorra"
169,222,El Aviador,Tempranillo 2022,3.4,2499,4.8,España,Castilla y León,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
170,223,Bodegas Delampa,MR. Jenares Verdejo 2023,3.9,164,4.8,España,Jumilla,2023,blanco,Sur (España),"Pescado frito, Salmorejo"
171,224,Mucy,Rosado Cigales 2023,3.6,66,4.8,España,Cigales,2023,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
